91523,Adele,"United Kingdom",2008-01-17,2016-02-20
top100-uk,45,2011-08-11,ms038561,"Rolling In The Deep"
top100-uk,50,2011-08-18,ms038561,"Rolling In The Deep"
top100-uk,52,2011-08-25,ms038561,"Rolling In The Deep"
top100-uk,49,2011-09-01,ms038561,"Rolling In The Deep"
top100-uk,40,2011-09-08,ms038561,"Rolling In The Deep"
top100-uk,50,2011-09-15,ms038561,"Rolling In The Deep"
top100-uk,54,2011-09-25,ms038561,"Rolling In The Deep"
top100-uk,55,2011-10-02,ms038561,"Rolling In The Deep"
top100-uk,56,2011-10-09,ms038561,"Rolling In The Deep"
top100-uk,51,2011-10-16,ms038561,"Rolling In The Deep"
top100-uk,55,2011-10-23,ms038561,"Rolling In The Deep"
top100-uk,69,2011-10-30,ms038561,"Rolling In The Deep"
top100-uk,62,2011-11-06,ms038561,"Rolling In The Deep"
top100-uk,68,2011-11-13,ms038561,"Rolling In The Deep"
top100-uk,76,2011-11-20,ms038561,"Rolling In The Deep"
top100-uk,80,2011-11-27,ms038561,"Rolling In The Deep"
top100-uk,70,2011-12-04,ms038561,"Rolling In The Deep"
top100-uk,77,2011-12-11,ms038561,"Rolling In The Deep"
top100-uk,75,2011-12-18,ms038561,"Rolling In The Deep"
top100-uk,69,2011-12-25,ms038561,"Rolling In The Deep"
top100-uk,45,2012-01-01,ms038561,"Rolling In The Deep"
top100-uk,39,2012-01-08,ms038561,"Rolling In The Deep"
top100-uk,55,2012-01-15,ms038561,"Rolling In The Deep"
top100-uk,70,2012-01-22,ms038561,"Rolling In The Deep"
top100-uk,77,2012-01-29,ms038561,"Rolling In The Deep"
top100-uk,82,2012-02-05,ms038561,"Rolling In The Deep"
top100-uk,76,2012-02-12,ms038561,"Rolling In The Deep"
top100-uk,39,2012-02-19,ms038561,"Rolling In The Deep"
top100-uk,28,2012-02-26,ms038561,"Rolling In The Deep"
top100-uk,45,2012-03-04,ms038561,"Rolling In The Deep"
top100-uk,58,2012-03-11,ms038561,"Rolling In The Deep"
top100-uk,71,2012-03-18,ms038561,"Rolling In The Deep"
top100-uk,73,2012-03-25,ms038561,"Rolling In The Deep"
top100-uk,89,2012-04-01,ms038561,"Rolling In The Deep"
top100-uk,77,2012-04-08,ms038561,"Rolling In The Deep"
top100-uk,83,2012-04-17,ms038561,"Rolling In The Deep"
top100-uk,79,2011-04-28,ms038634,"Set Fire To The Rain"
top100-uk,44,2011-05-05,ms038634,"Set Fire To The Rain"
top100-uk,69,2011-05-12,ms038634,"Set Fire To The Rain"
top100-uk,99,2011-05-19,ms038634,"Set Fire To The Rain"
top100-uk,83,2011-06-02,ms038634,"Set Fire To The Rain"
top100-uk,46,2011-06-09,ms038634,"Set Fire To The Rain"
top100-uk,25,2011-06-16,ms038634,"Set Fire To The Rain"
top100-uk,23,2011-06-23,ms038634,"Set Fire To The Rain"
top100-uk,21,2011-06-30,ms038634,"Set Fire To The Rain"
top100-uk,12,2011-07-07,ms038634,"Set Fire To The Rain"
